City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,beira,-19.8436,34.8389,27.51,84,0,5.62,MZ,1733599006
282,codrington,-38.2667,141.9667,11.84,66,12,5.85,AU,1733599154
283,seoni,22.0833,79.5333,19.38,55,56,2.04,IN,1733599155
284,bridgewater,44.3835,-64.5155,-4.18,64,100,7.72,CA,1733598892
285,undurkhaan,47.3194,110.6556,-11.37,77,4,3.38,MN,1733599158
286,plouzane,48.3833,-4.6167,10.1,64,100,14.4,FR,1733599159
287,mejit,10.2753,170.8646,27.61,79,12,10.23,MH,1733599160
288,bartica,6.4,-58.6167,27.21,78,81,1.43,GY,1733599161
289,tsetserleg,47.475,101.4542,-12.23,77,6,2.23,MN,1733599162
290,chinnamanur,9.8333,77.3833,22.09,94,100,0.61,IN,1733598898
291,udachny,66.4167,112.4,-20.56,96,100,4.67,RU,1733599165
292,zavetnoye,47.1194,43.8903,-2.84,78,18,7.92,RU,1733599166
293,svetlyy,54.675,20.1347,2.63,83,84,5.72,RU,1733599167
294,santiago de cao,-7.9589,-79.2392,19.07,82,100,5.14,PE,1733599168
295,qaqortoq,60.7167,-46.0333,0.24,92,100,5.9,GL,1733599169
296,kantang,7.4054,99.5156,24.44,95,100,2.07,TH,1733599170
297,ola,59.5833,151.2833,-9.64,79,38,5.15,RU,1733599171
298,dzuunharaa,48.8523,106.4579,-14.76,88,5,1.31,MN,1733599172
299,susuman,62.7833,148.1667,-28.92,100,100,0.31,RU,1733599174
300,ballina,-28.8667,153.5667,22.03,80,85,3.35,AU,1733599175
301,mandalgovi,45.7625,106.2708,-11.16,76,0,3.34,MN,1733599176
302,broken hill,-31.95,141.4333,17.12,49,0,7.83,AU,1733599171
303,port lincoln,-34.7333,135.8667,14.19,76,1,3.41,AU,1733599179
304,patnanungan,14.7833,122.1833,26.68,88,100,7.77,PH,1733599180
305,diawara,15.022,-12.5437,26.83,15,60,3.83,SN,1733599181
306,magdagachi,53.45,125.8,-11.02,82,72,3.61,RU,1733599182
307,selfoss,63.9331,-20.9971,-7.75,79,93,2.31,IS,1733599184
308,aldan,58.6031,125.3894,-15.76,93,100,5.42,RU,1733599185
309,kununurra,-15.7667,128.7333,26.99,94,100,1.54,AU,1733599186
310,kahama,-3.8333,32.6,18.44,85,26,0.69,TZ,1733599187
